***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,3,,,,,,Num Repeats:,3,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,34.16,,,,,,System Temp (C):,29.46,,,,,,,
Humidity (%):,41.7,,,,,,Humidity (%):,52.02,,,,,,,
Lamp Indicator:,1143,,,,,,Lamp Indicator:,1099,,,,,,,
Data Date-Time:,2025/08/09T13:55:55,,,,,,Data Date-Time:,2025/08/09T13:22:04,,,,,,,
Total Measurement Time in sec:,2.4113255,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-R210,,,,,,Shift Vector Coefficients:,-5.72686255341989,0.0566949379947153,-0.000136804211203387,,,,,
Serial Number:,734R012,(N/A),,,,,Pixel to Wavelength Coefficients:,1812.09528251196,-0.912948081806683,-0.000238884275033469,,,,,
GUI Version:,3.9.8,Revision:,830,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(hh:mm:ss):,N/A,,,,,,,
UUID:,D6:65:30:51:9A:41:0D:28,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Not activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Num Scan:,3

Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.894453969064,0.263993542077235,61165,33305
904.808608847648,0.260726485032748,71524,39239.6666666667
910.020793259393,0.263281283545112,81743,44583
913.924914998427,0.265906820844367,88693,48082
917.82473682051,0.266311382927654,96017,52004
921.720258725642,0.271275056277761,105300,56383.6666666667
925.611480713823,0.270260857808454,115956,62234.6666666667
929.498402785054,0.274612510416445,129721,68928.3333333333
933.381024939334,0.274945753983569,145333,77164.6666666667
937.259347176664,0.272582281482265,161102,86004
941.133369497043,0.270107535050843,176880,94966.6666666667
945.003091900472,0.269032033910323,190875,102734.666666667
948.86851438695,0.267516300954878,204873,110654.333333333
954.015722275886,0.266973982045633,222646,120404
957.871111622812,0.269180272061476,236435,127213
961.722201052788,0.27039294612087,250209,134248.666666667
965.568990565813,0.273388174326062,265026,141221.333333333
969.411480161888,0.273582583994262,277918,148024.666666667
973.249669841012,0.276061522890769,291257,154246.333333333
977.083559603186,0.278898028783193,304760,160346.666666667
980.913149448408,0.280283872624425,316097,165781.666666667
984.738439376681,0.280538994281777,326323,171044.333333333
988.559429388003,0.281748091903747,334592,174891
993.64739397673,0.28304169211226,344807,179694.333333333
997.458350848501,0.283582298061323,349688,182011.333333333
1001.26500780332,0.283186297911617,353644,184238.333333333
1005.06736484119,0.282598784751357,357116,186299
1008.86542196211,0.282201847323868,359485,187706.333333333
1012.65917916608,0.281599984921687,360943,188729
1016.44863645309,0.282715101767421,363031,189334
1020.23379382316,0.281914839507318,363948,190162.333333333
1024.01465127628,0.280061137938621,364282,191151
1027.79120881244,0.278896501802805,365769,192446.666666667
1032.81993010096,0.278721235582754,367653,193516
1036.58645449757,0.278911444572301,369308,194302
1040.34867897724,0.275875405252564,370049,196057.666666667
1044.10660353995,0.276715462968641,372221,196827.333333333
1047.86022818571,0.275455530240712,373567,198113
1051.60955291452,0.274609696325416,375404,199475.333333333
1055.35457772639,0.273796929377019,377310,200863.666666667
1059.0953026213,0.273633016590005,379148,201918.333333333
1062.83172759926,0.272489341513542,381319,203610
1066.56385266027,0.271328911000644,384184,205688.666666667
1071.53333064858,0.271110363499966,387908,207787
1075.25542257003,0.269851054473633,390607,209840.333333333
1078.97321457454,0.268391163695609,393646,212185
1082.6867066621,0.268236586483807,396671,213891.666666667
1086.3958988327,0.267805670480266,399870,215830.666666667
1090.10079108636,0.267902753476107,402904,217419.666666667
1093.80138342306,0.267630510733496,405606,219015
1097.49767584282,0.266325145791149,407871,220901
1101.18966834562,0.266472662057987,411381,222726.333333333
1104.87736093148,0.266969108207542,413721,223737.333333333
1108.56075360038,0.266024230010295,415453,225163.333333333
1113.46525506588,0.266444433259006,418471,226579.666666667
1117.13861459523,0.265692741441352,419674,227624.666666667
1120.80767420763,0.266325811801267,421639,228357.333333333
1124.47243390308,0.267431279718332,423459,228760
1128.13289368158,0.268739734798536,424228,228486
1131.78905354313,0.270745429434874,426045,228407.333333333
1135.44091348773,0.273613208936394,426478,227134.666666667
1139.08847351537,0.278176653008176,427601,225352.333333333
1142.73173362607,0.28258335660637,428210,223395
1146.37069381982,0.288878189837939,430333,221272
1151.21595198511,0.296193869914025,431572,218202.333333333
1154.84487903931,0.301175732068672,433166,216510.333333333
1158.46950617655,0.306688063968499,435811,215085
1162.08983339684,0.312101294488348,437511,213249.333333333
1165.70586070019,0.318021137081395,440470,211785
1169.31758808658,0.322298173500063,443261,211038.333333333
1172.92501555602,0.326726638676806,446330,210343.666666667
1176.52814310851,0.33083994142368,450024,210085.333333333
1180.12697074405,0.33657509236052,453937,209132
1183.72149846264,0.339553372845407,458109,209611.666666667
1188.50751332773,0.344692244119022,464689,210121.333333333
1192.09200790677,0.347190297993557,470015,211310.666666667
1195.67220256885,0.34875644635217,476072,213263.333333333
1199.24809731399,0.349922965070251,482088,215379
1202.81969214218,0.348971934892119,488677,218801.333333333
1206.38698705341,0.349596039706826,496329,221908.333333333
1209.9499820477,0.348128170350225,503908,226059.666666667
1213.50867712503,0.346588479666554,511433,230250.333333333
1217.06307228542,0.343368846568264,519363,235560.333333333
1220.61316752885,0.341387040207112,528308,240713.333333333
1224.15896285534,0.338253094074014,536018,245995
1228.88000119761,0.334602520334293,547278,253282.666666667
1232.41576338454,0.332492140955165,557050,259061
1235.94722565453,0.330579119545551,566065,264415.666666667
1239.47438800756,0.328925857769265,575725,269953.666666667
1242.99725044364,0.327030154894853,584235,275142.333333333
1246.51581296276,0.325871899505238,594054,280513.666666667
1250.03007556494,0.323538272120032,602549,286058
1253.54003825017,0.323102958831154,612257,290958.333333333
1257.04570101845,0.322126719408771,621056,295804
1260.54706386978,0.322482443055233,630966,300278
1265.20885891184,0.321454359821909,643606,307019.333333333
1268.70018862362,0.321556488885042,652183,311037.666666667
1272.18721841844,0.321366088200408,661425,315583.666666667
1275.66994829632,0.32082464339315,669244,319712.666666667
1279.14837825724,0.320100746060215,677027,323970.333333333
1282.62250830122,0.319867889319057,683423,327206.333333333
1286.09233842824,0.319525555515241,689796,330518
1289.55786863831,0.318991556683748,695579,333699
1293.01909893143,0.318260702717306,699163,335983.333333333
1296.4760293076,0.318003245614277,703715,338371.333333333
1301.07858104946,0.318351370778843,709736,340993
1304.52547828608,0.319230774847887,713970,342333.333333333
1307.96807560575,0.319697876976103,717163,343494.666666667
1311.40637300847,0.320577253884051,719966,344139.666666667
1314.84037049424,0.322197108091211,722284,343962.333333333
1318.27006806305,0.324134894002568,725225,343825.333333333
1321.69546571492,0.326909474714626,727780,342839.333333333
1325.11656344983,0.329018927612436,730006,342221.666666667
1328.5333612678,0.333235288347995,732700,340166
1331.94585916881,0.337045549615248,734345,337951.666666667
1336.48916761047,0.342669019508082,736319,334500.666666667
1339.89163237193,0.347597464621125,737558,331282.666666667
1343.28979721644,0.352921982494376,738142,327505
1346.683662144,0.358550665085993,738619,323496.666666667
1350.07322715461,0.364232876966125,738629,319296
1353.45849224827,0.369770244365835,737833,314911
1356.83945742498,0.375103465098133,736434,310477.666666667
1360.21612268474,0.381153651374891,736474,306199
1363.58848802755,0.385915481527152,735327,302388.333333333
1366.95655345341,0.391472097018889,735097,298450.666666667
1370.32031896232,0.395398464315732,734900,295685.333333333
1374.79865088116,0.401893942169213,735706,291615.333333333
1378.15238325052,0.406626995651165,734943,288155.333333333
1381.50181570292,0.411979624586732,732762,283781
1384.84694823838,0.418676465211799,731846,279089.333333333
1388.18778085688,0.426039270327302,730676,273959
1391.52431355844,0.435502661163387,728938,267416.333333333
1394.85654634304,0.447128963952104,727102,259696.666666667
1398.18447921069,0.458783815105344,724362,251867.333333333
1401.50811216139,0.473167651466745,722247,242950.666666667
1404.82744519514,0.487794771822272,719566,234032.333333333
1409.24653381378,0.507630861708794,716272,222560
1412.55583370798,0.523445323378214,714694,214128.666666667
1415.86083368523,0.538971801511057,713042,206131
1419.16153374553,0.554484290519612,711262,198401.666666667
1422.45793388888,0.566921183711193,710137,192495.666666667
1425.75003411527,0.579816116969799,709598,186722.333333333
1429.03783442472,0.590183529801813,708041,181917.666666667
1432.32133481722,0.599510083774292,708142,178078
1435.60053529276,0.606974113196912,706756,174701
1438.87543585136,0.613525003186802,707115,172173
1443.23528116978,0.619963406566921,706912,169590.666666667
1446.50014858883,0.623520918571468,705956,167979.666666667
1449.76071609092,0.627089357010484,705433,166481.666666667
1453.01698367606,0.627344298763435,705077,166300
1456.26895134425,0.630502971023494,703933,164827
1459.5166190955,0.631682128424034,702932,164146.333333333
1462.75998692979,0.63295586628375,700832,163176.666666667
1465.99905484713,0.633296537145013,698515,162509.666666667
1469.23382284752,0.635398109203387,696323,161217.666666667
